Performance.KDTMean,Performance.MAMean,Performance.MVMean,Performance.TBCMean,Performance.DDCMean,Performance.DMSMean,Performance.AEDMean,Performance.ADMSLMean,ExhaustionLevel,Performance.Task
"0,4999105812","0,4566796276","0,3193209016","0,4417315394","0,7747811204","0,2839576861","0,1795356918","0,672174908","0,4",1
"0,5009581149","0,4603740125","0,305055075","0,4336674953",1,"0,2833015337","0,1845596992","0,615521428","0,4",1
"0,4996109771","0,4444142411","0,314843099","0,4194578288","0,3064751971","0,2554888826","0,1850964225","0,3703171251","0,4",1
"0,4997676016","0,4735095776","0,3083737652","0,4345839301","0,4171946917","0,2330485768","0,197501229","0,1976353528","0,4",1
"0,4993865545","0,4455159888","0,3466190211","0,4310684397","0,7666118777","0,2658393628","0,1836432236","0,4080752697","0,4",1
"0,500931164","0,4457997435","0,3525321346","0,4193284356","0,2146861185","0,2189153356","0,1935555388","0,2348725359","0,2",1
"0,5242645306","0,4405074289","0,3512924515","0,4191512265","0,2241635461","0,2166059415","0,1887698663","0,2333882543","0,2",1
"0,7572536766","0,4284885324","0,3368142742","0,4179036767","0,2165077972","0,2165105839","0,2047978946","0,2154815511","0,2",1
"0,6345820295","0,438963513","0,3396101776","0,4197703511","0,3519803453","0,2242160186","0,1937426334","0,3197524722","0,2",1
"0,583968124","0,4443745305","0,353842506","0,4182313433","0,3988497034","0,2272758525","0,1815950194","0,3059984863","0,2",1
"0,6564777881","0,4504335437","0,3555118705","0,4188654268","0,2402061228","0,222296332","0,174662882","0,304189245","0,2",1
"0,5767036022","0,4561529215","0,3587094628","0,4183979809","0,3584999664","0,2255277299","0,1705796544","0,3039714764","0,6",1
"0,5265045014","0,4460852602","0,3533582456","0,4193780744","0,2227240856","0,2260989691","0,1899415748","0,2587133942","0,6",1
"0,5292311488","0,4396504319","0,3427714552","0,4189059053","0,2186870756","0,2218443789","0,1785429491","0,2888530936","0,6",1
"0,5338822587","0,4291270828","0,3356913559","0,4198958554","0,2267945079","0,2165778104","0,1895075467","0,2403009635","0,6",1
"0,4992401478","0,4227865014","0,3288724394","0,4217639821","0,2115575799","0,2203899786","0,1873171671","0,2564909502","0,6",1
"0,4995790416","0,4206135949","0,3185699679","0,4234585893","0,4099946716","0,2700777763","0,1729848926","0,3248497162","0,6",1
"0,4994944844","0,4199641491","0,3229116643","0,4197222326","0,2115575799","0,2988348855","0,1712534246","0,4529761348","0,6",1
"0,4998284083","0,4446513592","0,3379685203","0,4268620294","0,4860500549","0,2340314789","0,1850233039","0,5176788291","0,6",1
"0,50615164","0,4624685057","0,3618050797","0,4271872058","0,5171255707","0,2829527251","0,1773525269","0,50796552","0,4",1
